excited,excited,7.5,-2.2,7.67,-1.91
excitement,excited,7.5,-2.2,7.67,-1.91
exciting,excited,7.5,-2.2,7.67,-1.91
fatigued,tired,3.28,-1.43,2.64,-2.19
feared,scared,2.25,-1.18,6.33,-2.28
foul,unhappy,2.81,-1.52,4.93,-2.23
fearful,scared,2.25,-1.18,6.33,-2.28
frustrate,annoying,2.48,-1.64,5.61,-2.76
aatest,aatest,,,,
frustrated,annoying,2.48,-1.64,5.61,-2.76
frustrating,annoying,2.48,-1.64,5.61,-2.76
glad,fortunate,7.09,-2,5.16,-2.62
grateful,fortunate,7.37,-0.97,4.58,-2.14
good,happy,7.47,-1.45,5.43,-2.85
great,great,8.5,0,8.5,0
guilty,ashamed,2.63,-1.98,6.04,-2.76
grief,sad,1.69,-1.04,4.78,-2.84
happiness,happy,8.21,-1.82,6.49,-2.77
happy,happy,8.21,-1.82,6.49,-2.77
hate,hate,2.12,-1.72,6.95,-2.56
hated,hate,2.12,-1.72,6.95,-2.56
hateful,hate,2.12,-1.72,6.95,-2.56
hating,hate,1.98,-1.92,6.66,-2.56
hatred,hate,1.98,-1.92,6.66,-2.56
helpless,helpless,2.2,-1.42,5.34,-2.52
hope,inspired,7.05,-1.96,5.44,-2.47
hopeful,inspired,7.1,-1.46,5.78,-2.09
hoping,inspired,7.1,-1.46,5.78,-2.09
humiliate,ashamed,2.24,-1.34,6.14,-2.42
humiliated,ashamed,2.24,-1.34,6.14,-2.42
humiliating,ashamed,2.24,-1.34,6.14,-2.42
impress,impressed,7.33,-1.84,5.42,-2.65
impressed,impressed,7.33,-1.84,5.42,-2.65
impressing,impressed,7.33,-1.84,5.42,-2.65
indifferent,indifferent,4.61,-1.28,3.18,-1.85
insane,violent,2.85,-1.94,5.83,-2.45
insecure,ashamed,2.36,-1.33,5.56,-2.34
inspire,inspired,6.97,-1.91,5,-2.53
inspired,inspired,7.15,-1.85,6.02,-2.67
insolent,annoying,4.35,-1.76,5.38,-2.37
irritate,annoying,3.11,-1.67,5.76,-2.15
