workerid,spinnerID,payoff1,payoff2,payoff3,prob1,prob2,prob3,win,winProb,angleProp,response,winChoice,EV,PE,happy,sad,anger,surprise,disgust,fear,content,disapp,pcomp1,pcomp2,dummy
A290W8BVTNK0ZY,1,0,30,60,0.38,0.36,0.26,0,0.38,0.668,Very disappointed that he didn't win any money at all. ,1,26.4,-26.4,1.333333333,6.8,3.933333333,4,3.8,1.066666667,1.2,7.933333333,-9.027450038,-0.235245639,0
A1WND2TPRFA4H,2,0,30,60,0.42,0.31,0.27,30,0.31,0.115,Pretty dang happy!,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,0
A3Q68BOA79SD35,2,0,30,60,0.42,0.31,0.27,30,0.31,0.883,I think hes somewhat relieved. The $0 takes up a large percentage of the wheel. Hes most likely happy he at least got the $30,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,0
A09281221R5UN2B9X8VQQ,2,0,30,60,0.42,0.31,0.27,30,0.31,0.801,I think David feels pretty good about winning the $30.  There were pretty good odds of him landing on 0.,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,0
A32MGFYA9L2IYT,2,0,30,60,0.42,0.31,0.27,30,0.31,0.931,bad,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,0
AZCV8JQ2NEFN8,2,0,30,60,0.42,0.31,0.27,30,0.31,0.794,He is very exited! He didn't expect to win anything. He feels lucky.,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,0
A31MBX2OGEP67W,2,0,30,60,0.42,0.31,0.27,30,0.31,0.022,He feels excited and happy and relieved that the wheel did not land on $0. Might feel less disappointed since he won some money but not the maximum amount. ,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,0
A9K7HUROMLTQ4,2,0,30,60,0.42,0.31,0.27,30,0.31,0.273,I think Alex feels excited; but he knew he held a slighter better chance of winning some money rather than zero since the portion of the wheel representing zero is slightly smaller. He probably feels justified in receiving some money; yet wishes he had won the larger amount.,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,0
A21L1O4MOGTUCH,2,0,30,60,0.42,0.31,0.27,30,0.31,0.998,He is some what glad that he won 30 dollars because the chances of him winning were very low\n,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,0
A2Y6NKGAGWT3OL,2,0,30,60,0.42,0.31,0.27,30,0.31,0.143,relieved!  The pointer ALMOST landed on $0 but at the last minute it rolled over to $30.  He is very excited to win some money.,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,0
