blasphemy,anew,3.75,-2.26,4.93,-2.34
bless,fortunate,7.19,-1.69,4.05,-2.59
bless,anew,7.19,-1.69,4.05,-2.59
blind,anew,3.05,-1.99,4.39,-2.36
bliss,fortunate,6.95,-2.24,4.41,-2.95
bliss,anew,6.95,-2.24,4.41,-2.95
blister,anew,2.88,-1.75,4.1,-2.34
blond,anew,6.43,-2.04,5.07,-2.7
bloody,anew,2.9,-1.98,6.41,-2
blossom,anew,7.26,-1.18,5.03,-2.65
blubber,anew,3.52,-1.99,4.57,-2.38
blue,anew,6.76,-1.78,4.31,-2.2
board,anew,4.82,-1.23,3.36,-2.12
body,anew,5.55,-2.37,5.52,-2.63
bold,confident,6.8,-1.61,5.6,-2.21
bold,anew,6.8,-1.61,5.6,-2.21
bomb,anew,2.1,-1.19,7.15,-2.4
book,anew,5.72,-1.54,4.17,-2.49
bored,indifferent,2.95,-1.35,2.83,-2.31
bored,anew,2.95,-1.35,2.83,-2.31
bottle,anew,6.15,-1.49,4.79,-2.44
bouquet,anew,7.02,-1.84,5.46,-2.47
bowl,anew,5.33,-1.33,3.47,-2.12
boxer,anew,5.51,-1.8,5.12,-2.26
boy,anew,6.32,-1.6,4.58,-2.37
brave,confident,7.15,-1.64,6.15,-2.45
brave,anew,7.15,-1.64,6.15,-2.45
breast,anew,6.5,-1.78,5.37,-2.39
breeze,anew,6.85,-1.71,4.37,-2.32
bride,anew,7.34,-1.71,5.55,-2.74
bright,anew,7.5,-1.55,5.4,-2.33
broken,anew,3.05,-1.92,5.43,-2.42
brother,anew,7.11,-2.17,4.71,-2.68
brutal,anew,2.8,-1.9,6.6,-2.36
building,anew,5.29,-1.15,3.92,-1.94
bullet,anew,3.29,-2.06,5.33,-2.48
bummed,sad,2.39,-1.25,4.78,-2.52
bunny,anew,7.24,-1.32,4.06,-2.61
burdened,anew,2.5,-1.32,5.63,-2.07
burial,anew,2.05,-1.41,5.08,-2.4
burn,anew,2.73,-1.72,6.22,-1.91
bus,anew,4.51,-1.57,3.55,-1.8
busybody,anew,5.17,-2.02,4.84,-2.41
butter,anew,5.33,-1.2,3.17,-1.84
butterfly,anew,7.17,-1.2,3.47,-2.39
cabinet,anew,5.05,-0.31,3.43,-1.85
cake,anew,7.26,-1.27,5,-2.37
cancer,anew,1.5,-0.85,6.42,-2.83
candy,anew,6.54,-2.09,4.58,-2.4
cane,anew,4,-1.8,4.2,-1.93
cannon,anew,4.9,-2.2,4.71,-2.84
capable,anew,7.16,-1.39,5.08,-2.07
car,anew,7.73,-1.63,6.24,-2.04
carcass,anew,3.34,-1.92,4.83,-2.07
carefree,anew,7.54,-1.38,4.17,-2.84
caress,anew,7.84,-1.16,5.14,-3
cash,anew,8.37,-1,7.37,-2.21
casino,anew,6.81,-1.66,6.51,-2.12
cat,anew,5.72,-2.43,4.38,-2.24
cell,anew,3.82,-1.7,4.08,-2.19
